measured_variable,codeset_id,unit,harmonized_unit,measurement_concept_name,conversion_formula
"White blood cell count, x10E3/uL",138719030,thousand per liter,thousand per microliter,White blood cell estimate,x*0.000001
"White blood cell count, x10E3/uL",138719030,thousand per cubic millimeter,thousand per microliter,White blood cell estimate,x
"White blood cell count, x10E3/uL",138719030,million per microliter,thousand per microliter,White blood cell estimate,x*1000
"White blood cell count, x10E3/uL",138719030,kilounit per liter,thousand per microliter,White blood cell estimate,None
"White blood cell count, x10E3/uL",138719030,cells per microliter,thousand per microliter,White blood cell estimate,x*0.001
"White blood cell count, x10E3/uL",138719030,billion per liter,thousand per microliter,White blood cell estimate,x
"White blood cell count, x10E3/uL",138719030,billion cells per liter,thousand per microliter,White blood cell estimate,x
"White blood cell count, x10E3/uL",138719030,10*9/L,thousand per microliter,White blood cell estimate,x
"White blood cell count, x10E3/uL",138719030,thousand per milliliter,thousand per microliter,Leukocytes [#/volume] in Blood by Estimate,x*0.001
"White blood cell count, x10E3/uL",138719030,thousand per liter,thousand per microliter,Leukocytes [#/volume] in Blood by Estimate,x*0.000001
"White blood cell count, x10E3/uL",138719030,thousand per cubic millimeter,thousand per microliter,Leukocytes [#/volume] in Blood by Estimate,x
"White blood cell count, x10E3/uL",138719030,million per microliter,thousand per microliter,Leukocytes [#/volume] in Blood by Estimate,x*1000
"White blood cell count, x10E3/uL",138719030,kilounit per liter,thousand per microliter,Leukocytes [#/volume] in Blood by Estimate,None
"White blood cell count, x10E3/uL",138719030,cells per microliter,thousand per microliter,Leukocytes [#/volume] in Blood by Estimate,x*0.001
"White blood cell count, x10E3/uL",138719030,billion per liter,thousand per microliter,Leukocytes [#/volume] in Blood by Estimate,x
"White blood cell count, x10E3/uL",138719030,billion cells per liter,thousand per microliter,Leukocytes [#/volume] in Blood by Estimate,x
"White blood cell count, x10E3/uL",138719030,10*9/L,thousand per microliter,Leukocytes [#/volume] in Blood by Estimate,x
"White blood cell count, x10E3/uL",138719030,thousand per milliliter,thousand per microliter,White blood cell count,x*0.001
"White blood cell count, x10E3/uL",138719030,thousand per liter,thousand per microliter,White blood cell count,x*0.000001
"White blood cell count, x10E3/uL",138719030,thousand per cubic millimeter,thousand per microliter,White blood cell count,x
"White blood cell count, x10E3/uL",138719030,million per microliter,thousand per microliter,White blood cell count,x*1000
"White blood cell count, x10E3/uL",138719030,kilounit per liter,thousand per microliter,White blood cell count,None
"White blood cell count, x10E3/uL",138719030,cells per microliter,thousand per microliter,White blood cell count,x*0.001
"White blood cell count, x10E3/uL",138719030,billion per liter,thousand per microliter,White blood cell count,x
"White blood cell count, x10E3/uL",138719030,billion cells per liter,thousand per microliter,White blood cell count,x
"White blood cell count, x10E3/uL",138719030,10*9/L,thousand per microliter,White blood cell count,x
"White blood cell count, x10E3/uL",138719030,thousand per milliliter,thousand per microliter,Leukocytes [#/volume] in Blood,x*0.001
"White blood cell count, x10E3/uL",138719030,thousand per liter,thousand per microliter,Leukocytes [#/volume] in Blood,x*0.000001
"White blood cell count, x10E3/uL",138719030,thousand per cubic millimeter,thousand per microliter,Leukocytes [#/volume] in Blood,x
"White blood cell count, x10E3/uL",138719030,million per microliter,thousand per microliter,Leukocytes [#/volume] in Blood,x*1000
"White blood cell count, x10E3/uL",138719030,kilounit per liter,thousand per microliter,Leukocytes [#/volume] in Blood,None
"White blood cell count, x10E3/uL",138719030,cells per microliter,thousand per microliter,Leukocytes [#/volume] in Blood,x*0.001
"White blood cell count, x10E3/uL",138719030,billion per liter,thousand per microliter,Leukocytes [#/volume] in Blood,x
"White blood cell count, x10E3/uL",138719030,billion cells per liter,thousand per microliter,Leukocytes [#/volume] in Blood,x
"White blood cell count, x10E3/uL",138719030,10*9/L,thousand per microliter,Leukocytes [#/volume] in Blood,x
"White blood cell count, x10E3/uL",138719030,thousand per milliliter,thousand per microliter,Leukocytes [#/volume] in Blood by Automated count,x*0.001
"White blood cell count, x10E3/uL",138719030,thousand per liter,thousand per microliter,Leukocytes [#/volume] in Blood by Automated count,x*0.000001
"White blood cell count, x10E3/uL",138719030,thousand per cubic millimeter,thousand per microliter,Leukocytes [#/volume] in Blood by Automated count,x
"White blood cell count, x10E3/uL",138719030,million per microliter,thousand per microliter,Leukocytes [#/volume] in Blood by Automated count,x*1000
"White blood cell count, x10E3/uL",138719030,kilounit per liter,thousand per microliter,Leukocytes [#/volume] in Blood by Automated count,None
"White blood cell count, x10E3/uL",138719030,cells per microliter,thousand per microliter,Leukocytes [#/volume] in Blood by Automated count,x*0.001
"White blood cell count, x10E3/uL",138719030,billion per liter,thousand per microliter,Leukocytes [#/volume] in Blood by Automated count,x
"White blood cell count, x10E3/uL",138719030,billion cells per liter,thousand per microliter,Leukocytes [#/volume] in Blood by Automated count,x
"White blood cell count, x10E3/uL",138719030,10*9/L,thousand per microliter,Leukocytes [#/volume] in Blood by Automated count,x
